step,mean_ep_reward,suc_pct,acol_pct,pcol_pct,tmo_pct
0,-49.1619,8.87,14.62,0.35,0.0
131072,-38.4079,6.81,3.93,0.04,0.0
262144,-38.0807,6.87,2.78,0.0,0.0
393216,-37.8791,6.79,2.97,0.08,0.0
524288,-38.2668,6.78,3.35,0.0,0.0
655360,-37.5321,7.17,2.7,0.08,0.04
786432,-37.9881,7.55,2.49,0.13,0.13
917504,-36.7475,7.74,2.68,0.17,0.0
1048576,-37.2256,7.62,2.65,0.0,0.0
1179648,-39.0851,6.6,3.21,0.14,0.05
1310720,-37.8658,7.65,2.58,0.17,0.04
1441792,-37.4636,7.3,2.74,0.05,0.14
1572864,-38.1295,6.74,3.1,0.13,0.0
1703936,-37.0132,8.05,2.85,0.18,0.09
1835008,-37.5303,6.7,2.82,0.26,0.04
1966080,-37.3983,7.43,2.8,0.09,0.04
2097152,-38.1139,7.37,2.68,0.09,0.05
2228224,-37.5737,7.89,2.89,0.0,0.18
2359296,-36.6072,8.5,3.03,0.05,0.0
2490368,-37.0946,7.48,2.83,0.09,0.09
2621440,-37.2095,6.4,2.52,0.05,0.33
2752512,-38.1021,6.45,2.76,0.09,0.05
2883584,-36.6085,7.66,2.66,0.13,0.13
3014656,-37.8246,7.34,3.26,0.32,0.23
3145728,-37.8496,6.89,3.84,0.28,0.19
3276800,-36.9016,7.3,2.32,0.14,0.09
3407872,-38.2533,6.81,3.07,0.14,0.14
3538944,-37.2817,7.64,2.85,0.32,0.36
3670016,-37.6526,7.02,2.99,0.05,0.32
3801088,-36.7391,7.66,2.58,0.09,0.18
3932160,-36.5173,7.14,2.16,0.18,0.22
4063232,-37.5297,7.44,2.62,0.09,0.14
4194304,-36.9708,7.67,2.72,0.14,0.18
4325376,-37.992,7.0,2.53,0.18,0.14
4456448,-37.408,7.25,2.94,0.13,0.18
4587520,-37.0993,7.18,2.98,0.09,0.18
4718592,-37.0109,7.79,2.7,0.04,0.27
4849664,-37.5431,6.87,2.46,0.05,0.09
4980736,-37.0249,7.15,2.56,0.13,0.09
5111808,-37.0806,8.14,2.8,0.22,0.17
5242880,-37.9241,7.76,3.18,0.14,0.23
5373952,-37.692,6.87,2.65,0.14,0.37
5505024,-36.6589,7.87,2.7,0.05,0.27
5636096,-37.7225,7.39,2.2,0.09,0.27
5767168,-37.8937,7.14,3.45,0.0,0.32
5898240,-37.278,6.63,1.88,0.09,0.27
6029312,-36.8281,7.85,2.27,0.24,0.28
6160384,-36.688,6.58,2.28,0.04,0.13
