step,mean_ep_reward,suc_pct,col_pct,pcol_pct,tmo_pct,n_ep
495616,-27.0475,6.8135,92.1542,1.0323,0.0,1453
598016,-15.7122,17.9931,78.5467,3.4602,0.0,289
700416,-18.9437,11.4035,86.8421,1.7544,0.0,342
802816,-16.5958,17.341,77.4566,5.2023,0.0,173
905216,-13.658,25.1613,68.3871,6.4516,0.0,155
1007616,-16.3987,23.6994,72.2543,4.0462,0.0,173
1110016,-6.6336,40.9091,53.4091,5.6818,0.0,264
1212416,4.0793,58.5687,39.3597,2.0716,0.0,531
1314816,10.6516,68.323,30.3461,1.331,0.0,1127
1417216,16.1834,80.4522,18.5266,1.0212,0.0,1371
1519616,24.2985,94.2239,5.292,0.484,0.0,3099
1622016,22.2649,89.5549,8.6822,1.7629,0.0,2269
1724416,14.1002,78.6361,18.3464,3.0175,0.0,1657
1826816,16.7346,81.4583,13.8889,4.6528,0.0,1440
1929216,14.1327,79.5995,15.4568,4.9437,0.0,1598
2031616,10.9879,75.8472,19.5933,4.5595,0.0,1623
2134016,11.3372,73.2444,17.7669,6.4607,2.5281,1424
2236416,12.7663,76.388,16.337,5.4882,1.7869,1567
2338816,9.8658,71.8256,20.0253,6.5698,1.5793,1583
2441216,8.7081,70.7044,20.6715,7.0441,1.58,1519
2543616,9.069,69.6027,19.9338,8.3444,2.1192,1510
2646016,9.7668,70.9972,21.9101,6.7416,0.3511,1424
2748416,11.8774,71.5804,19.4189,8.7172,0.2835,1411
2850816,9.7119,68.1992,24.0102,7.6628,0.1277,1566
2953216,5.6088,62.3536,30.1522,7.377,0.1171,1708
3055616,7.7722,65.6777,24.8982,9.3077,0.1163,1719
3158016,8.7807,68.0025,19.9746,11.7684,0.2545,1572
3260416,9.081,69.7337,19.8547,10.109,0.3027,1652
3362816,10.8146,70.7733,17.038,11.5334,0.6553,1526
3465216,11.2412,71.003,16.4742,12.4012,0.1216,1645
3567616,9.508,67.9925,18.3344,12.7408,0.9323,1609
3670016,12.3448,72.4638,15.2174,12.1212,0.1976,1518
3772416,10.9226,71.5413,18.0218,10.3155,0.1214,1648
3874816,10.9049,69.7209,16.8083,13.2282,0.2427,1648
3977216,11.2827,70.1219,17.9268,11.8293,0.122,1640
4079616,12.0467,70.3257,17.7925,11.7008,0.1809,1658
4182016,12.8025,72.2497,17.8616,9.8269,0.0618,1618
4284416,14.8844,73.372,12.766,13.7331,0.1289,1551
4386816,15.599,76.2172,12.9838,10.799,0.0,1602
4489216,12.6858,71.3095,16.7857,11.6667,0.2381,1680
4591616,13.159,70.6204,16.1192,13.0779,0.1825,1644
4694016,16.1543,75.1416,10.321,14.2228,0.3147,1589
4796416,12.7628,70.9524,15.1786,13.75,0.119,1680
4898816,12.3882,69.4864,17.5831,12.7492,0.1813,1655
5001216,14.7829,72.0902,13.3455,14.2596,0.3047,1641
5103616,16.1083,74.7586,11.1034,13.8621,0.2759,1450
5206016,14.763,73.0842,13.0462,13.6162,0.2533,1579
5308416,14.4162,72.5652,13.6219,13.6219,0.191,1571
5410816,14.5018,72.8247,13.0517,13.9344,0.1892,1586
5513216,17.0909,76.4364,8.1343,15.3002,0.1291,1549
5615616,15.9874,74.2109,9.5366,15.9167,0.3358,1489
5718016,15.1339,73.0233,12.8239,13.7542,0.3987,1505
5820416,13.1706,70.2208,14.4479,14.7634,0.5678,1585
5922816,16.3876,74.5289,11.566,13.8402,0.065,1539
6025216,14.0784,71.4737,14.0417,14.2947,0.1898,1581
6127616,12.0053,69.2308,16.4392,14.268,0.062,1612
6230016,13.9072,72.2426,15.8701,11.7647,0.1225,1632
6332416,16.8442,76.1243,9.8545,13.7566,0.2646,1512
6434816,13.7795,71.6049,14.8798,13.3203,0.1949,1539
6537216,15.4581,73.1522,14.2767,12.2552,0.3159,1583
6639616,14.3629,71.5619,12.01,16.117,0.3111,1607
6742016,13.3489,69.9488,13.8107,16.1125,0.1279,1564
6844416,16.6919,75.1161,10.1526,14.4658,0.2654,1507
6946816,14.4471,71.8012,15.4037,12.6708,0.1242,1610
7049216,15.8139,73.6634,11.2211,14.7195,0.396,1515
7151616,15.8436,74.1751,12.4365,13.2614,0.1269,1576
7254016,15.8718,73.622,9.6457,16.3386,0.3937,1524
7356416,14.9061,72.1519,13.2278,14.6203,0.0,1580
7458816,13.1789,69.1267,17.8967,12.6691,0.3075,1626
7561216,13.1482,69.5,16.8125,13.5,0.1875,1600
7663616,14.2356,70.3439,13.4328,15.8339,0.3894,1541
7766016,16.5487,74.4452,9.9529,15.6019,0.0,1487
7868416,16.9596,75.797,8.7183,15.1594,0.3253,1537
7970816,16.0095,74.4521,10.0,15.411,0.137,1460
