step,mean_ep_reward,suc_pct,col_pct,pcol_pct,tmo_pct,n_ep
217088,-12.886,32.9843,62.8272,4.1885,0.0,191
319488,-13.9166,28.5714,62.8571,8.5714,0.0,175
421888,-2.7108,48.2759,48.2759,3.4483,0.0,145
524288,8.1606,66.6667,30.303,3.0303,0.0,132
626688,18.6324,82.3529,15.4412,2.2059,0.0,136
729088,10.2374,64.876,33.0579,2.0661,0.0,242
831488,15.7283,75.3676,21.6912,2.9412,0.0,272
933888,12.9931,72.8723,24.4681,2.6596,0.0,376
1036288,14.3444,73.8298,22.766,3.4043,0.0,470
1138688,19.0903,82.1215,15.3122,2.5663,0.0,1169
1241088,23.3474,91.3065,5.6135,3.08,0.0,2013
1343488,19.5522,84.5745,7.1144,8.3112,0.0,1504
1445888,13.7565,74.375,13.4821,12.1429,0.0,1120
1548288,17.118,80.3063,14.4967,5.1969,0.0,1828
1650688,17.3739,79.5616,11.8483,8.59,0.0,1688
1753088,19.5087,82.5369,8.3186,9.1445,0.0,1695
1855488,17.9922,78.3984,10.0942,11.5074,0.0,1486
1957888,18.4198,80.837,11.1233,8.0396,0.0,1816
2060288,17.9823,79.2998,11.1179,9.3366,0.2457,1628
2162688,17.8444,78.1401,9.6014,12.1981,0.0604,1656
2265088,16.4317,77.1144,12.3134,10.5721,0.0,1608
2367488,16.2972,75.8907,12.886,11.2233,0.0,1684
2469888,16.4837,76.5474,12.5497,10.9029,0.0,1761
2572288,17.8698,77.5401,10.1604,12.2995,0.0,1683
2674688,16.7762,75.775,11.8829,12.3421,0.0,1742
2777088,15.9717,74.1859,12.907,12.907,0.0,1689
2879488,16.0745,74.4703,12.9199,12.6098,0.0,1935
2981888,16.4482,73.2205,9.6849,17.0945,0.0,1714
3084288,17.5482,75.1728,10.4839,14.3433,0.0,1736
3186688,14.1054,69.1937,14.1998,16.6065,0.0,1662
3289088,14.8056,70.0136,10.4478,19.5387,0.0,1474
3391488,14.3223,71.0703,16.5749,12.3547,0.0,1635
3493888,16.0179,73.9157,13.259,12.8253,0.0,1614
3596288,13.8193,71.2147,18.2499,10.5354,0.0,1737
3698688,16.0775,73.571,15.1199,11.3092,0.0,1627
3801088,17.3816,76.0689,11.4608,12.4703,0.0,1684
3903488,16.1928,74.404,11.606,13.99,0.0,1594
4005888,14.3791,70.7757,15.3337,13.8906,0.0,1663
4108288,13.228,68.3756,18.4908,13.1336,0.0,1736
4210688,14.9174,71.2329,13.9964,14.7707,0.0,1679
4313088,14.9184,70.7526,16.7617,12.4857,0.0,1754
4415488,17.2731,74.6733,11.5121,13.8146,0.0,1607
4517888,17.7764,75.5359,8.8903,15.5738,0.0,1586
4620288,11.2254,65.7263,19.6879,14.5858,0.0,1666
4722688,16.6349,74.2713,14.7422,10.9865,0.0,1784
4825088,17.4897,75.1519,10.4496,14.3985,0.0,1646
4927488,15.3938,71.7391,15.0411,13.2197,0.0,1702
5029888,16.0047,73.5465,14.3605,12.093,0.0,1720
5132288,13.3593,70.2786,17.709,12.0124,0.0,1615
5234688,18.207,77.4482,9.9049,12.6469,0.0,1787
5337088,16.9518,74.6757,13.2798,12.0445,0.0,1619
