to_goal_cost_gain,speed_cost_gain,obstacle_cost_gain,predict_time,dt,success_rate,avg_steps
1.5,25.0,1.5,1.0,0.1,0.4,207.625
1.5,25.0,1.5,1.8,0.1,0.35,190.57142857142858
1.5,25.0,1.5,1.0,0.2,0.35,285.2857142857143
3.0,10.0,8.0,1.0,0.1,0.3,105.0
3.0,25.0,1.5,1.0,0.1,0.3,125.66666666666667
0.5,25.0,4.0,1.8,0.1,0.3,221.0
1.5,1.0,8.0,1.8,0.1,0.25,67.8
1.5,1.0,8.0,1.0,0.2,0.25,83.4
3.0,25.0,1.5,1.8,0.1,0.25,140.8
3.0,25.0,1.5,1.8,0.2,0.25,189.6
1.5,25.0,4.0,1.0,0.1,0.25,202.6
3.0,25.0,4.0,1.0,0.1,0.25,212.4
0.5,1.0,1.5,1.8,0.2,0.2,74.25
0.5,1.0,8.0,1.0,0.2,0.2,82.75
1.5,1.0,1.5,1.8,0.1,0.2,84.75
0.5,1.0,4.0,1.8,0.1,0.2,87.0
3.0,10.0,1.5,1.8,0.1,0.2,96.25
0.5,25.0,1.5,1.0,0.1,0.2,130.25
1.5,10.0,1.5,1.8,0.1,0.2,145.75
0.5,10.0,1.5,1.8,0.1,0.2,154.0
0.5,25.0,4.0,1.0,0.2,0.2,199.0
1.5,10.0,1.5,1.0,0.2,0.2,211.5
0.5,25.0,4.0,1.0,0.1,0.2,269.5
3.0,1.0,8.0,1.0,0.1,0.15,61.0
0.5,1.0,4.0,1.0,0.2,0.15,82.66666666666667
1.5,1.0,8.0,1.0,0.1,0.15,90.0
3.0,25.0,8.0,1.0,0.1,0.15,95.66666666666667
3.0,1.0,4.0,1.0,0.2,0.15,96.0
0.5,1.0,8.0,1.8,0.1,0.15,101.0
1.5,10.0,4.0,1.8,0.1,0.15,111.66666666666667
0.5,25.0,8.0,1.0,0.2,0.15,114.33333333333333
1.5,10.0,1.5,1.0,0.1,0.15,146.33333333333334
3.0,10.0,1.5,1.0,0.2,0.15,149.0
3.0,10.0,4.0,1.0,0.2,0.15,159.0
1.5,10.0,4.0,1.0,0.1,0.15,169.33333333333334
0.5,25.0,1.5,1.8,0.1,0.15,173.66666666666666
1.5,25.0,4.0,1.8,0.2,0.15,176.0
0.5,10.0,1.5,1.0,0.1,0.15,183.0
3.0,25.0,4.0,1.0,0.2,0.15,183.33333333333334
3.0,25.0,4.0,1.8,0.2,0.15,220.0
1.5,1.0,4.0,1.8,0.1,0.1,66.5
1.5,1.0,1.5,1.8,0.2,0.1,66.5
3.0,1.0,1.5,1.0,0.2,0.1,67.0
1.5,1.0,4.0,1.0,0.2,0.1,67.5
0.5,10.0,8.0,1.0,0.2,0.1,67.5
