step,total_env_steps,mean_ep_reward,suc_pct,col_pct,pcol_pct,tmo_pct,ppo_loss,ppo_pi,ppo_v,ppo_H,shac_actor_loss,shac_critic_loss,shac_return,shac_ag_norm,shac_h,alpha,n_ep,stage,min_dist,ghost
0,524288,-82.3963,0.0641,81.455,18.4809,0.0,0.24131,0.02305,0.23032,0.16584,-0.0,1.70221,-0.355,6.8127,4,0.05,9361,0,1.5,1.0
5,3145728,-80.9667,0.2233,80.6141,19.1626,0.0,0.15343,0.00082,0.13918,0.01371,0.0,1.78553,0.062,1.5078,4,0.05,7165,0,1.5,1.0
10,5767168,-78.5222,0.4698,75.8866,23.0524,0.5911,0.12777,0.00798,0.13969,-0.071,-0.0,1.08547,-0.231,1.37,4,0.05,6598,0,1.5,1.0
15,8388608,-71.5271,0.6789,61.3394,36.9358,1.0459,0.1329,0.01056,0.12943,0.39764,-0.0,0.84047,-0.067,2.1263,4,0.05,5450,0,1.5,1.0
20,11010048,-48.5735,2.7019,34.3612,58.884,4.0529,0.12346,-0.00174,0.11747,0.58356,-0.0,1.08353,-0.087,1.3186,4,0.05,3405,0,1.5,1.0
25,13631488,-27.9132,3.5081,11.656,67.6726,17.1633,0.08657,-0.0087,0.08329,0.61853,-0.0,2.91046,0.4,3.0127,4,0.05,2651,0,1.5,1.0
30,16252928,-14.1333,8.7963,12.4288,61.1823,17.5926,0.06166,0.00472,0.06669,0.59992,-0.0,0.65954,-0.083,1.732,4,0.05,2808,0,1.5,1.0
35,18874368,-10.6413,9.8619,10.4758,64.6969,14.9655,0.0517,0.01563,0.05565,0.75417,0.0,1.2294,-0.143,3.6158,4,0.05,2606,0,1.5,1.0
40,21495808,-7.0597,11.753,13.0677,59.2032,15.9761,0.05172,-0.02885,0.04857,0.75698,0.0,1.23725,-0.249,1.5708,5,0.05,2510,0,1.5,1.0
45,24117248,-7.7667,12.3935,17.0358,54.8552,15.7155,0.05706,0.00172,0.05802,0.88083,0.0,0.55985,-0.058,1.3622,5,0.05,2348,0,1.5,1.0
50,26738688,1.7439,14.3049,11.6674,54.8055,19.2222,0.04814,0.00308,0.04997,1.2291,-0.0,2.02304,-0.471,8.8505,5,0.05,2237,0,1.5,1.0
55,29360128,9.4503,14.7564,3.8204,59.8854,21.5377,0.04041,-0.00441,0.03488,1.54416,-0.0,1.87515,-0.364,5.3034,5,0.05,2094,0,1.5,1.0
60,31981568,1.6117,10.7659,3.2823,65.3829,20.5689,0.03646,0.00707,0.03752,1.81372,-0.0,2.77325,-0.524,6.6274,5,0.05,2285,0,1.5,1.0
65,34603008,-7.7075,6.3016,2.8249,69.7957,21.0778,0.04424,0.00724,0.04511,2.20223,-0.0,0.24007,-0.203,7.3674,5,0.05,2301,0,1.5,1.0
70,37224448,-13.3611,3.0665,1.3939,74.5918,20.9478,0.0418,3e-05,0.05377,2.49253,0.0,1.04821,-0.396,7.5683,5,0.05,2511,0,1.5,1.0
75,39845888,-14.2072,2.5822,1.9171,73.5524,21.9484,0.04439,0.0016,0.05294,2.38824,-0.0,1.77627,-0.441,6.0146,5,0.05,2556,0,1.5,1.0
