step,mean_ep_reward,suc_pct,acol_pct,pcol_pct,tmo_pct
0,-21.8392,8.42,27.27,0.94,0.0
65536,-16.2342,8.4,15.25,0.29,0.0
131072,-16.5645,7.57,15.85,0.63,0.0
196608,-16.8999,5.54,15.45,1.18,0.07
262144,-15.8573,8.68,14.69,0.51,0.14
327680,-16.3917,7.68,15.28,0.74,0.52
393216,-16.5687,7.32,15.26,0.69,0.23
458752,-16.9376,6.36,15.66,0.47,0.39
524288,-17.1706,7.69,16.83,0.61,0.15
589824,-16.7475,8.27,16.54,0.47,0.62
655360,-16.4951,7.11,15.1,0.89,0.22
720896,-16.7393,7.69,15.91,0.92,0.31
786432,-15.6078,7.7,14.02,1.14,0.38
851968,-16.3417,8.02,15.52,1.04,0.45
917504,-16.2735,8.98,15.93,0.97,0.22
983040,-16.9028,6.74,15.56,0.77,0.46
1048576,-17.933,6.28,17.46,1.17,0.15
1114112,-15.5707,8.09,14.18,0.64,0.14
1179648,-16.5571,8.06,16.19,0.39,0.15
1245184,-16.7113,6.0,15.05,0.52,0.15
1310720,-16.4138,7.51,15.18,1.58,0.38
1376256,-18.1772,6.61,18.06,0.81,0.22
1441792,-16.3667,8.22,15.67,0.92,0.08
1507328,-16.4796,7.06,15.59,1.1,0.29
1572864,-16.9828,7.04,15.69,1.23,0.36
1638400,-16.865,6.28,15.96,1.18,0.44
1703936,-16.8979,7.64,16.23,1.02,0.15
1769472,-16.4144,6.75,15.21,0.71,0.28
1835008,-16.4121,7.26,15.23,0.79,0.29
1900544,-17.4318,6.61,16.72,0.94,0.36
1966080,-16.5607,7.45,16.21,0.35,0.0
2031616,-16.4505,6.81,14.77,1.23,0.22
2097152,-16.08,6.7,14.28,0.36,0.29
2162688,-16.6706,6.92,15.69,0.57,0.43
2228224,-16.9382,8.61,17.51,0.44,0.15
2293760,-17.0126,7.75,17.22,0.5,0.14
2359296,-16.4299,6.58,14.92,0.85,0.28
2424832,-16.9873,6.19,15.78,0.66,0.22
2490368,-15.8805,8.07,15.31,0.48,0.14
2555904,-17.2586,6.0,16.27,0.57,0.21
2621440,-16.8736,7.23,16.23,0.99,0.07
2686976,-16.0336,7.14,14.63,0.5,0.07
2752512,-17.1691,7.36,17.14,0.79,0.0
2818048,-16.0042,6.31,13.74,0.56,0.14
2883584,-16.6578,7.31,16.26,0.41,0.0
2949120,-16.5774,7.71,15.93,0.58,0.07
3014656,-15.4429,9.15,15.19,0.53,0.27
3080192,-16.1443,6.81,14.48,1.22,0.14
3145728,-16.1558,7.43,14.86,0.65,0.22
3211264,-15.7602,7.33,14.16,0.63,0.0
3276800,-15.73,6.71,13.64,0.42,0.0
3342336,-15.3859,8.21,14.0,0.21,0.07
3407872,-16.4195,7.01,15.3,0.43,0.07
3473408,-16.6093,7.18,15.8,0.21,0.0
3538944,-15.3523,8.6,13.61,0.49,0.14
3604480,-15.8786,7.21,14.35,0.96,0.07
3670016,-16.6731,6.03,15.22,0.56,0.14
3735552,-15.4262,7.49,13.73,0.55,0.42
3801088,-16.4803,7.34,15.52,0.56,0.07
3866624,-14.482,7.35,11.72,0.55,0.14
3932160,-14.7255,9.06,13.29,0.6,0.0
3997696,-14.8401,8.19,13.13,0.41,0.27
4063232,-15.7278,7.61,14.19,0.89,0.0
4128768,-15.5036,6.63,13.33,0.56,0.0
4194304,-14.8745,7.55,12.44,0.88,0.14
4259840,-14.7225,7.42,12.05,0.64,0.14
4325376,-14.9158,8.2,13.19,0.62,0.0
4390912,-14.1618,7.16,10.74,0.69,0.14
4456448,-14.9263,7.56,12.66,0.2,0.14
4521984,-14.1334,7.6,11.57,0.61,0.07
4587520,-14.5609,7.77,12.19,0.94,0.0
4653056,-14.2008,7.25,11.01,0.55,0.07
4718592,-14.6531,7.31,11.73,0.34,0.0
4784128,-14.1093,8.73,11.71,0.97,0.0
4849664,-14.453,7.09,11.43,0.4,0.07
4915200,-14.3335,6.99,11.49,0.34,0.0
4980736,-13.7815,7.31,10.39,0.43,0.0
5046272,-13.8047,6.79,9.71,0.4,0.0
5111808,-15.1941,6.61,12.62,0.4,0.07
5177344,-13.2401,7.55,9.7,0.61,0.2
5242880,-14.1134,6.92,10.34,0.48,0.0
5308416,-13.5474,7.31,9.61,0.34,0.14
5373952,-14.3283,6.67,10.66,0.62,0.07
5439488,-12.9234,7.55,8.31,0.69,0.07
5505024,-13.6382,7.54,10.01,0.47,0.0
5570560,-13.0507,8.18,9.04,0.53,0.07
5636096,-13.8172,7.07,10.15,0.46,0.0
5701632,-13.7561,6.72,9.71,0.34,0.2
5767168,-13.1113,6.84,8.38,0.47,0.2
5832704,-12.9817,6.68,8.67,0.66,0.0
5898240,-13.2198,7.42,9.0,0.59,0.2
5963776,-12.2674,8.26,8.2,0.26,0.0
6029312,-12.7457,7.26,7.92,0.59,0.0
6094848,-12.7893,7.05,8.15,0.07,0.14
6160384,-12.4867,8.21,8.09,0.26,0.06
6225920,-12.612,7.96,8.03,0.62,0.0
