step,mean_ep_reward,suc_pct,col_pct,pcol_pct,tmo_pct,n_ep
1034240,-136.16,0.2294,78.9892,20.7814,0.0,13950
2058240,-125.4641,0.5501,71.6643,26.9822,0.8034,11452
3082240,-131.0407,1.1287,63.1091,33.6835,2.0787,8948
4106240,-129.1931,3.0348,55.0154,37.411,4.5387,7447
5130240,-119.8093,5.178,51.333,36.8316,6.6574,6489
6154240,-105.7283,7.7007,40.0797,41.4024,10.8172,5519
7178240,-103.369,7.6552,40.2966,40.519,11.5292,5395
8202240,-95.1637,9.1404,35.9782,42.6293,12.252,5142
9226240,-92.8875,8.3543,36.8014,41.3846,13.4597,5171
10250240,-87.0658,10.542,37.6216,39.1106,12.7258,5037
11274240,-84.3475,10.1678,35.968,41.1983,12.6659,5124
12298240,-79.7954,10.6241,37.5682,39.4668,12.3409,4951
13322240,-80.6862,10.2811,37.1845,38.7031,13.8313,4873
14346240,-73.257,12.3978,31.0276,42.674,13.9006,4525
15370240,-69.6083,12.9454,32.7852,40.9867,13.2827,4743
16394240,-65.6106,14.1352,34.9246,39.099,11.8413,4839
17418240,-66.5689,14.1091,30.584,42.5405,12.7664,4692
18442240,-67.2066,13.6917,33.712,42.5355,10.0609,4930
19466240,-67.8922,13.6018,36.5728,40.2096,9.6158,4867
20490240,-61.5234,14.9715,35.8646,40.5272,8.6366,5083
21514240,-52.0294,18.4622,34.3412,38.0657,9.131,4994
22538240,-53.8802,16.906,36.703,38.5219,7.869,5223
23562240,-48.9657,19.1768,33.3333,39.7769,7.713,5199
24586240,-50.039,19.2001,38.2555,37.1335,5.4108,5526
25610240,-44.773,20.3582,33.7902,40.0219,5.8297,5472
26634240,-42.9967,20.6068,34.3038,39.4248,5.6647,5702
27658240,-40.8809,22.1088,34.0251,38.9958,4.8703,5975
28682240,-38.0257,23.2507,33.2322,38.8805,4.6367,5931
29706240,-35.0146,23.8801,36.41,35.5492,4.1607,6273
30730240,-33.8542,24.132,36.2371,36.1433,3.4876,6394
31754240,-33.5024,25.0741,36.714,34.5608,3.6511,6409
32778240,-30.7637,26.6039,35.3016,34.4718,3.6227,6266
33802240,-34.2275,25.3116,36.9595,34.4207,3.3082,6499
34826240,-34.3846,26.0447,39.0285,31.1334,3.7934,6485
35850240,-33.2292,26.5069,39.2618,31.5523,2.679,6719
36874240,-31.7726,27.3112,41.2297,28.8301,2.6289,6847
37898240,-28.8757,28.4864,42.0587,27.2828,2.1721,7228
38922240,-30.494,27.8917,42.8357,27.3585,1.9141,7314
39946240,-25.7788,29.4361,43.5334,25.2199,1.8107,7732
40970240,-23.4964,30.6547,42.4713,25.5302,1.3437,7591
41994240,-18.6413,32.6837,40.877,24.7211,1.7182,7799
43018240,-20.8395,31.4983,43.0848,24.1172,1.2997,8156
44042240,-15.7106,33.7454,42.979,21.9159,1.3597,8090
45066240,-18.7566,33.5289,43.8088,21.1588,1.5035,8181
46090240,-16.7597,34.5856,44.5304,19.6562,1.2277,8145
47114240,-21.0256,33.6093,43.0743,21.9572,1.3592,8093
48138240,-17.4627,34.965,42.8588,21.0857,1.0904,8437
49162240,-18.8374,34.5162,43.4062,21.1321,0.9455,8144
50186240,-22.7394,32.8674,43.9771,21.8062,1.3492,8227
51210240,-20.8511,33.1733,43.0899,21.9682,1.7686,7916
52234240,-19.0937,33.1328,43.8497,20.8569,2.1606,8146
53258240,-18.9632,33.6038,41.5554,22.2194,2.6214,8011
54282240,-18.2244,33.6893,42.5307,20.7997,2.9803,8053
55306240,-18.2544,33.6566,43.4839,19.8794,2.9801,8456
56330240,-18.1082,33.7394,43.7716,19.7898,2.6992,8373
57354240,-16.7806,34.1358,43.765,18.5002,3.5989,8308
58378240,-15.5912,34.4856,44.939,17.5802,2.9951,8447
59402240,-10.5767,35.8232,44.4274,16.4165,3.3329,8461
60426240,-8.9431,37.0334,44.8428,15.2259,2.8978,8144
61450240,-6.2715,37.3805,44.3559,15.6691,2.5944,8788
62474240,-5.0845,38.5388,43.7049,15.2264,2.5298,8459
63498240,-6.2958,37.9973,45.3549,14.7152,1.9326,8848
64522240,-8.0643,37.6833,45.8524,14.7227,1.7415,8728
65546240,-4.8992,38.8935,44.7793,14.3849,1.9423,8495
66570240,-7.2117,37.8585,45.1575,15.0564,1.9276,8508
67594240,-3.0953,39.4568,44.2242,14.3938,1.9253,8726
68618240,-6.0942,38.3988,46.903,13.1582,1.54,8831
69642240,-3.14,39.5497,45.1039,13.4873,1.8591,8660
70666240,-1.3526,39.6169,46.5314,12.1628,1.689,8822
71690240,-2.9234,38.3909,48.5789,11.8496,1.1806,9148
72714240,2.642,40.6348,46.594,12.0047,0.7665,9263
73738240,1.7202,41.0679,45.4394,12.4805,1.0122,8990
74762240,1.0714,40.9279,45.3997,12.711,0.9614,8945
75786240,3.5639,41.7165,44.5624,12.4788,1.2422,8855
76810240,8.373,43.0318,43.5856,12.102,1.2806,8668
77834240,4.9567,41.6458,44.6205,12.047,1.6868,8774
78858240,5.3563,41.5362,44.8037,12.1511,1.509,8814
79882240,7.2385,42.4353,44.0087,11.8687,1.6874,8771
80906240,10.1694,43.619,42.8854,11.9003,1.5952,8588
81930240,8.9117,42.7588,42.3908,12.5712,2.2792,8424
82954240,4.2101,40.6429,44.4749,12.5944,2.2878,8742
83978240,10.6646,42.8362,43.8492,11.5813,1.7333,8885
85002240,9.5318,42.7153,44.073,11.1694,2.0422,8765
86026240,7.0443,41.8267,44.8205,11.6282,1.7247,9219
87050240,9.4783,42.9833,44.6298,11.1656,1.2212,9171
88074240,9.1557,43.114,44.3203,11.4487,1.1169,8953
89098240,10.7273,43.794,43.5035,11.1161,1.5864,8951
90122240,9.6064,43.0998,44.1589,11.5609,1.1804,9065
91146240,8.74,43.2097,42.6064,12.9552,1.2286,9116
92170240,3.8734,41.1949,45.5677,11.9277,1.3097,9239
93194240,11.3485,43.6016,43.3267,12.0273,1.0444,9096
94218240,8.7122,42.6592,44.4154,11.6383,1.2871,9168
95242240,10.2515,43.2981,44.3449,11.4505,0.9065,9266
96266240,8.7569,42.9236,43.748,12.2503,1.0781,9461
97290240,12.0133,44.4239,43.186,11.2173,1.1728,9209
98314240,11.0107,43.4401,43.2473,12.0381,1.2745,9337
99338240,11.838,43.8322,42.7302,11.7508,1.6867,8893
100362240,10.7655,43.242,43.3102,11.4243,2.0234,8797
101386240,10.1363,42.926,43.4516,12.3412,1.2812,9132
102410240,9.9403,43.025,43.7432,12.0675,1.1643,9190
103434240,11.1362,43.7339,43.0743,11.649,1.5428,8945
104458240,9.0418,42.4436,44.546,11.5575,1.4529,9085
105482240,11.3849,43.5981,43.262,11.7845,1.3554,8927
106506240,9.8871,42.8251,43.7108,11.917,1.5471,8920
107530240,5.7689,41.3617,45.2096,11.965,1.4637,9018
108554240,10.8332,42.9219,44.5795,11.3383,1.1603,9049
109578240,9.2431,42.3127,44.9471,11.5094,1.2308,9262
110602240,11.972,43.7054,44.0397,11.3636,0.8913,8976
111626240,13.9346,44.1428,43.8399,10.9356,1.0817,9245
112650240,16.4134,45.1742,43.304,10.197,1.3247,8983
113674240,11.9224,43.3747,44.1686,11.126,1.3306,8943
114698240,16.3819,44.8159,43.2157,10.6313,1.3371,9124
115722240,14.595,44.6799,42.8329,11.2521,1.2351,8825
116746240,13.2843,43.7169,43.9546,11.3992,0.9292,9255
117770240,13.1175,43.8776,43.2914,11.5827,1.2484,9212
118794240,13.449,44.1946,43.5719,11.3257,0.9077,9474
119818240,12.5921,43.9938,43.673,11.702,0.6311,9665
120842240,15.1457,45.1054,43.2798,11.1111,0.5036,9531
121866240,14.5782,44.8024,43.2023,11.3295,0.6658,9312
122890240,14.7947,44.5298,42.803,11.73,0.9371,9497
123914240,15.8726,44.7604,42.4792,11.7708,0.9896,9600
124938240,16.4019,45.4966,42.0034,11.8014,0.6986,9304
125962240,16.6156,45.4624,41.8387,11.9785,0.7204,9300
126986240,14.8432,45.0596,42.0585,11.9393,0.9426,9230
128010240,17.2134,45.2136,42.239,11.325,1.2223,9245
129034240,14.3998,44.8447,41.5125,12.5933,1.0494,9243
130058240,10.9215,43.3928,43.0423,12.5983,0.9666,9414
131082240,12.6071,43.8734,43.0134,12.3912,0.722,9418
132106240,16.3966,45.3681,41.3253,12.6257,0.681,9251
133130240,15.1353,44.4811,42.1944,11.9723,1.3522,9096
134154240,20.0545,46.3095,40.7285,12.0034,0.9586,9389
135178240,15.1305,45.0898,41.9179,12.1731,0.8192,9521
136202240,16.8843,45.4442,41.9565,11.8976,0.7017,9691
137226240,18.6319,45.9435,41.7954,11.7527,0.5083,9836
138250240,16.4053,45.2536,42.0474,11.7456,0.9535,9544
139274240,17.1806,45.7186,41.1682,12.3064,0.8068,9296
140298240,16.7545,45.3421,41.5307,12.5089,0.6183,9865
141322240,17.8547,45.9005,41.7753,11.9446,0.3797,9745
142346240,18.747,46.5743,39.9467,12.7544,0.7246,9385
143370240,20.9099,47.0588,39.4395,12.7344,0.7673,9384
144394240,20.8126,46.5772,40.1824,12.6324,0.608,9539
145418240,20.2284,46.4412,40.5686,12.596,0.3943,9638
146442240,19.0147,46.2858,40.1548,12.7851,0.7742,9558
147466240,16.6331,45.2549,40.6272,13.4437,0.6742,9789
148490240,19.0452,46.0224,39.8818,13.3045,0.7913,9478
149514240,17.9725,45.7997,40.4277,12.9643,0.8083,9773
150538240,19.7788,46.0811,40.0226,13.2072,0.6892,9722
151562240,18.7259,45.7665,40.3046,13.2284,0.7005,9850
152586240,20.9633,46.595,40.3789,12.5653,0.4608,9765
153610240,23.3903,47.4635,39.739,12.286,0.5115,9580
154634240,21.9217,46.8431,41.2298,11.4224,0.5047,9709
155658240,21.7145,47.2623,40.2377,11.8846,0.6154,9424
156682240,22.4685,46.8267,40.6681,11.8267,0.6785,9580
157706240,20.9828,46.4777,41.2128,11.4036,0.9059,9383
158730240,25.3917,48.3905,38.2995,12.5371,0.773,9444
159754240,22.2166,47.2525,39.8127,12.235,0.6997,9718
160778240,21.3812,47.0816,39.9665,12.3651,0.5868,9543
161802240,23.9445,47.7833,39.1215,12.4897,0.6055,9744
162826240,16.7308,45.2751,40.8021,12.9871,0.9357,9725
163850240,19.7463,46.2272,40.6519,12.2616,0.8594,9542
164874240,22.0023,46.9513,39.3477,12.5273,1.1738,9627
165898240,23.7831,47.5938,39.4318,11.5328,1.4416,9434
166922240,23.5267,47.4402,39.4671,12.0436,1.0491,9532
167946240,19.1295,46.149,40.412,12.2768,1.1622,9465
168970240,23.6334,47.5968,38.8087,11.9128,1.6817,9217
169994240,20.9359,45.9816,39.9567,12.411,1.6507,9693
171018240,23.1918,46.8052,37.8533,13.175,2.1665,9093
172042240,24.6023,47.0156,39.9784,10.9876,2.0183,9265
173066240,20.7249,45.993,39.7402,12.1092,2.1576,9084
174090240,26.206,47.8408,39.2803,11.145,1.7339,9170
175114240,24.1997,47.2354,39.4924,11.4147,1.8575,9260
176138240,27.704,48.6498,38.2295,11.3349,1.7857,9184
177162240,29.7671,49.024,37.3675,11.5561,2.0524,8965
178186240,27.0454,48.3882,37.8207,11.4302,2.361,8810
179210240,26.492,47.8828,37.9839,11.6131,2.5201,8809
180234240,29.9137,49.2391,37.3732,11.127,2.2607,9068
181258240,27.3474,48.5666,37.6504,11.4896,2.2934,8895
182282240,26.07,48.4396,37.9925,11.5206,2.0474,9036
183306240,27.2304,48.4395,38.6461,11.4399,1.4744,9292
184330240,25.224,48.0788,37.8729,11.9894,2.0588,9083
185354240,28.9316,49.3874,36.6078,11.9703,2.0344,8897
186378240,29.4785,49.7238,36.5083,11.7348,2.0331,9050
187402240,26.1269,48.8427,37.6048,11.7187,1.8338,8943
188426240,27.2136,48.4244,38.5783,11.4377,1.5597,9425
189450240,24.8389,48.0022,38.6681,12.2469,1.0828,9235
190474240,27.0891,48.5567,37.7127,12.238,1.4927,9111
191498240,29.6984,49.4842,37.4451,11.9622,1.1084,9112
192522240,24.5628,48.3107,37.7249,12.6481,1.3164,9116
193546240,26.1892,48.5283,38.5695,11.8789,1.0233,9479
194570240,27.2951,48.6632,37.1846,13.0785,1.0738,9313
195594240,28.8881,49.0232,36.8528,12.6508,1.4733,9367
196618240,29.8943,49.5374,36.7367,12.0714,1.6545,9187
197642240,29.1053,49.1108,36.3047,12.4371,2.1474,8941
198666240,32.7849,50.8052,35.2494,12.0555,1.89,8942
199690240,29.2182,49.2116,36.4539,12.7136,1.6209,9069
200714240,28.7737,48.8263,36.8507,12.3017,2.0213,9202
201738240,26.8923,48.5762,36.1038,13.2671,2.053,9060
202762240,29.6922,49.9015,35.3141,12.9788,1.8056,9138
203786240,27.8177,49.0754,35.5374,13.2467,2.1405,8923
204810240,27.7056,48.927,34.7188,14.005,2.3492,8854
