step,mean_ep_reward,suc_pct,col_pct,pcol_pct,tmo_pct,n_ep
1034240,-102.3359,0.2249,76.0723,23.7028,0.0,12893
2058240,-92.9865,0.1973,48.5696,48.1256,3.1075,6082
3082240,-79.3372,0.2261,27.5153,55.8897,16.369,4423
4106240,-72.5189,0.8337,17.8657,60.9338,20.3668,4198
5130240,-64.0091,3.2559,15.322,60.2346,21.1875,4177
6154240,-55.934,6.3485,17.517,57.9356,18.1989,4253
7178240,-52.8503,7.1807,15.374,59.3096,18.1358,4345
8202240,-54.2687,7.4128,19.278,54.994,18.3153,4155
9226240,-54.273,6.6992,27.2653,51.9446,14.0908,4911
10250240,-50.7131,7.9602,29.1802,49.708,13.1516,4623
11274240,-47.8987,8.1435,24.7959,51.4611,15.5995,4654
12298240,-44.2604,9.4768,20.6517,53.5567,16.3148,4358
13322240,-44.8237,8.8909,19.8442,52.1082,19.1567,4364
14346240,-42.9151,9.6811,22.7819,49.6534,17.8835,4328
15370240,-40.865,10.4296,18.7916,52.975,17.8038,4353
16394240,-40.9883,10.0327,17.1989,52.2002,20.5683,3977
17418240,-40.1122,10.0098,14.7577,53.2795,21.953,4086
18442240,-39.51,10.399,17.5032,48.6229,23.4749,3885
19466240,-30.8732,13.7477,15.8886,49.1101,21.2535,3877
20490240,-26.7274,14.9498,12.599,48.8906,23.5605,3786
21514240,-21.5396,17.3782,13.3852,48.5937,20.6429,3982
22538240,-21.9414,17.4543,12.5762,51.2449,18.7246,3936
23562240,-17.8057,18.7329,13.3913,48.2733,19.6025,4025
24586240,-16.7047,19.1459,12.9319,49.0163,18.906,4168
25610240,-13.2401,20.723,15.4246,45.7044,18.1481,4039
26634240,-10.6588,21.3427,12.7255,45.0902,20.8417,3992
27658240,-12.7826,20.6468,12.5124,47.8607,18.9801,4020
28682240,-10.7739,21.459,12.9559,47.2762,18.3089,4222
29706240,-9.1138,22.1734,13.5287,46.0562,18.2418,4095
30730240,-11.4418,21.2432,13.7176,46.9874,18.0519,4199
31754240,-8.152,22.418,11.6313,46.9836,18.9672,4144
32778240,-10.7702,21.6309,13.7472,46.44,18.1818,4059
33802240,-7.3741,23.0676,15.0957,43.5425,18.2942,4127
34826240,-4.685,24.2812,16.4049,42.8123,16.5016,4139
35850240,-8.7332,22.9157,20.1837,40.2261,16.6745,4246
36874240,-7.1842,23.9955,21.2259,39.6822,15.0965,4405
37898240,0.9858,27.1659,22.8341,34.1165,15.8835,4086
38922240,-3.152,28.2856,30.2584,41.456,0.0,3599
39946240,0.8298,26.3158,22.807,31.5789,19.2982,4218
40970240,2.117,27.5625,22.511,35.2133,14.7131,4078
41994240,3.7754,27.9667,22.8774,32.9582,16.1977,4087
43018240,1.2711,27.0566,22.9672,35.2116,14.7646,4206
44042240,5.8557,28.8324,23.7457,33.4104,14.0116,4325
45066240,3.3258,27.3919,21.0539,35.4055,16.1486,4118
46090240,6.8025,28.636,18.4878,35.996,16.8802,3981
47114240,8.8682,29.5018,15.9417,37.5456,17.0109,4115
48138240,7.7008,29.2833,16.635,38.8704,15.2112,4214
49162240,8.6956,29.4484,16.307,38.4173,15.8273,4170
50186240,10.7107,30.1609,16.092,38.6667,15.0805,4350
51210240,11.3669,30.375,14.6983,40.0419,14.8847,4293
52234240,8.6455,29.297,15.8476,38.9842,15.8711,4253
53258240,5.7967,28.2223,16.9861,38.1648,16.6267,4174
54282240,8.7606,29.1999,16.6304,37.5635,16.6062,4137
55306240,6.0465,28.3405,17.2135,37.6367,16.8093,4206
56330240,6.1437,28.5478,15.5866,39.7351,16.1306,4228
57354240,6.8272,28.5646,15.7177,39.3301,16.3876,4180
58378240,6.4358,28.5193,15.0255,39.8493,16.6059,4113
59402240,7.9287,28.8452,14.8059,39.9856,16.3632,4174
60426240,9.2518,29.1546,15.2174,37.3913,18.2367,4140
61450240,6.4608,28.0757,16.331,37.3938,18.1995,4121
62474240,7.2655,28.379,13.3692,40.1567,18.095,4084
63498240,6.9395,28.4161,13.4421,41.5122,16.6296,4047
64522240,8.1208,28.4359,13.2814,39.9173,18.3654,4111
65546240,6.2238,28.0019,12.9864,41.2509,17.7608,4189
66570240,4.6061,27.3852,14.2279,40.4711,17.9158,4203
67594240,7.056,28.3087,13.4527,39.9952,18.2434,4133
68618240,4.3309,27.3755,13.0864,41.1595,18.3786,4157
69642240,9.1047,29.0552,11.4137,41.4161,18.1151,4223
70666240,6.2287,28.2439,12.2197,40.8667,18.6697,3969
71690240,6.2136,28.0312,11.9541,42.3762,17.6384,4099
72714240,3.456,26.9747,13.7357,40.8346,18.455,4026
73738240,7.4242,28.5139,12.3678,41.2091,17.9093,3970
74762240,7.6304,28.6198,12.1344,41.9869,17.2589,4137
75786240,9.0179,29.2326,10.5968,42.6797,17.4909,4105
76810240,9.7736,29.4529,11.8824,41.3835,17.2813,4149
77834240,5.745,27.8368,11.1782,43.6263,17.3588,4142
78858240,6.3498,28.2215,11.563,42.3322,17.8834,4082
79882240,8.0966,28.8259,11.8414,40.7175,18.6152,3986
80906240,9.8645,29.5986,11.0564,41.2706,18.0744,4061
81930240,7.4133,28.505,9.5791,43.5063,18.4095,3873
82954240,3.4954,26.7853,9.6467,44.5753,18.9927,3991
83978240,3.7669,26.9992,8.1975,46.3023,18.5009,3989
85002240,7.0977,28.4069,9.4608,43.7745,18.3578,4080
86026240,3.9281,27.3845,11.1849,44.8132,16.6175,4068
87050240,7.3009,28.8383,11.3357,42.912,16.914,3908
88074240,4.543,27.6057,10.9882,43.7807,17.6254,4068
89098240,4.2196,27.5131,11.9481,42.679,17.8598,4009
90122240,4.1428,27.1869,11.6552,42.6677,18.4902,3921
91146240,2.6299,26.7472,10.7143,43.8335,18.705,3892
92170240,6.3678,28.224,11.4223,43.4783,16.8755,4071
93194240,5.6106,27.8112,10.7932,43.4237,17.9719,3984
94218240,5.9535,27.7918,10.4346,43.33,18.4437,3958
95242240,1.9946,26.451,10.5804,43.9137,19.055,3894
96266240,6.3406,28.0364,9.4148,44.1092,18.4395,3845
97290240,3.6111,27.0637,10.9457,42.9206,19.07,3828
98314240,3.5624,27.3785,10.2378,44.5967,17.787,3868
99338240,4.1702,27.6475,10.2938,44.7791,17.2797,4051
100362240,2.8535,27.0628,8.329,46.7826,17.8256,3854
101386240,4.0653,27.2279,9.9247,44.7129,18.1346,3849
102410240,0.1912,25.9307,11.6856,43.7435,18.6401,3868
103434240,-1.5801,25.2838,12.7193,44.324,17.6729,3876
104458240,4.8577,27.4467,9.7061,43.0844,19.7627,3709
105482240,1.2597,26.3655,10.7931,44.4065,18.4349,3808
106506240,5.8456,27.9607,9.9841,42.4588,19.5964,3766
107530240,-1.9546,25.2501,11.03,45.0662,18.6537,3699
108554240,0.4463,25.8475,12.2617,42.161,19.7299,3776
109578240,-3.4001,24.7527,13.3516,43.3517,18.544,3640
110602240,0.5102,26.119,12.1725,41.5666,20.1419,3664
111626240,-5.0859,24.3605,10.6782,43.6942,21.2671,3362
112650240,-4.4402,24.2893,11.6803,41.5142,22.5162,3553
113674240,-14.0105,21.1009,14.7973,41.6691,22.4327,3379
114698240,-11.0575,22.254,15.532,40.9325,21.2815,3496
115722240,-10.2348,22.7038,15.6142,40.4994,21.1825,3484
116746240,-8.5789,23.3089,16.4882,38.1905,22.0124,3548
117770240,-12.5491,21.8338,15.9312,40.1146,22.1203,3490
118794240,-13.7454,20.9433,13.3788,41.679,23.9988,3371
119818240,-12.1439,21.6109,11.5995,43.789,23.0006,3526
120842240,-12.2565,21.529,10.3398,44.5811,23.5501,3414
121866240,-7.386,22.7353,6.0983,44.997,26.1693,3378
